CategoryID,CategoryNumber,CategoryName
1,1,User Experience
2,4,Customer Service
3,3,Product Quality
4,3,User Experience
5,2,Pricing
6,2,User Experience
7,2,Pricing
8,4,User Experience
9,4,Product Quality
10,1,Pricing
11,5,User Experience
12,1,Delivery
13,4,Pricing
14,2,User Experience
15,2,User Experience
16,1,Delivery
17,2,Delivery
18,4,Delivery
19,2,Delivery
20,5,Product Quality
21,3,User Experience
22,5,Delivery
23,3,User Experience
24,3,Pricing
25,2,Pricing
26,5,User Experience
27,3,Product Quality
28,3,Customer Service
29,4,Customer Service
30,3,User Experience
31,1,Delivery
32,4,Pricing
33,2,Pricing
34,3,Product Quality
35,1,User Experience
36,2,Delivery
37,4,User Experience
38,3,Customer Service
39,2,Customer Service
40,4,Pricing
41,4,Customer Service
42,3,Product Quality
43,1,User Experience
44,4,Customer Service
45,3,Product Quality
46,1,User Experience
47,2,Delivery
48,2,Pricing
49,4,Customer Service
50,4,Delivery
51,3,User Experience
52,5,Product Quality
53,2,Pricing
54,4,Pricing
55,2,Product Quality
56,5,Pricing
57,1,User Experience
58,2,User Experience
59,3,User Experience
60,1,Pricing
61,3,Delivery
62,4,Delivery
63,4,User Experience
64,4,Delivery
65,2,Product Quality
66,2,User Experience
67,4,User Experience
68,2,Delivery
69,3,User Experience
70,3,Delivery
71,5,Product Quality
72,3,Product Quality
73,5,Delivery
74,2,User Experience
75,2,Product Quality
76,5,Customer Service
77,1,Delivery
78,3,User Experience
79,5,Delivery
80,4,Customer Service
81,1,Delivery
82,2,User Experience
83,1,Pricing
84,1,User Experience
85,2,Pricing
86,2,Product Quality
87,5,Product Quality
88,3,Product Quality
89,2,User Experience
90,3,Pricing
91,1,Pricing
92,2,User Experience
93,5,User Experience
94,1,Delivery
95,1,User Experience
96,2,Pricing
97,1,Product Quality
98,4,Customer Service
99,5,Delivery
100,5,Delivery
101,3,Pricing
102,5,User Experience
103,3,Pricing
104,5,User Experience
105,1,Customer Service
106,5,User Experience
107,4,User Experience
108,1,User Experience
109,3,Pricing
110,5,User Experience
111,3,Delivery
112,4,User Experience
113,1,User Experience
114,4,Product Quality
115,2,Delivery
116,1,Pricing
117,3,Customer Service
118,5,User Experience
119,5,Product Quality
120,1,Delivery
121,1,Pricing
122,3,Delivery
123,3,Pricing
124,3,Delivery
125,2,User Experience
126,2,Pricing
127,2,Delivery
128,5,Product Quality
129,2,Customer Service
130,5,Delivery
131,4,Customer Service
132,2,Pricing
133,3,User Experience
134,4,Product Quality
135,4,Delivery
136,1,User Experience
137,3,Customer Service
138,4,User Experience
139,2,Delivery
140,4,Product Quality
141,5,User Experience
142,5,Pricing
143,1,Pricing
144,5,User Experience
145,2,Delivery
146,5,Delivery
147,3,User Experience
148,4,User Experience
149,2,Delivery
150,1,Customer Service
151,3,Customer Service
152,4,Delivery
153,2,Pricing
154,2,Customer Service
155,3,Product Quality
156,4,Product Quality
157,5,Delivery
158,1,Pricing
159,4,User Experience
160,4,Product Quality
161,2,Customer Service
162,5,Customer Service
163,2,Pricing
164,1,User Experience
165,3,User Experience
166,5,Product Quality
167,4,Pricing
168,5,User Experience
169,5,User Experience
170,2,Delivery
171,4,User Experience
172,2,Customer Service
173,3,Pricing
174,5,Product Quality
175,5,Customer Service
176,5,Pricing
177,5,Customer Service
178,1,Product Quality
179,5,Product Quality
180,2,Product Quality
181,5,Delivery
182,5,User Experience
183,5,Customer Service
184,4,Customer Service
185,5,User Experience
186,5,Product Quality
187,4,Pricing
188,4,Product Quality
189,4,Customer Service
190,1,Pricing
191,1,Pricing
192,5,Delivery
193,1,User Experience
194,5,User Experience
195,2,Delivery
196,1,Pricing
197,2,Customer Service
198,5,Product Quality
199,3,Product Quality
200,3,Customer Service
201,2,Pricing
202,4,User Experience
203,3,User Experience
204,5,Delivery
205,2,Product Quality
206,5,Pricing
207,2,Customer Service
208,1,Delivery
209,4,Product Quality
210,5,User Experience
211,4,Delivery
212,1,Customer Service
213,2,User Experience
214,1,Product Quality
215,5,Product Quality
216,5,Product Quality
217,3,User Experience
218,2,Product Quality
219,4,Customer Service
220,4,Delivery
221,3,Product Quality
222,1,Customer Service
223,1,Product Quality
224,5,Delivery
225,4,Product Quality
226,3,Pricing
227,5,Product Quality
228,1,Customer Service
229,1,Pricing
230,3,Delivery
231,3,Pricing
232,1,Customer Service
233,2,Product Quality
234,1,User Experience
235,1,Product Quality
236,2,Delivery
237,2,Pricing
238,3,Product Quality
239,5,Pricing
240,2,User Experience
241,5,Customer Service
242,1,Product Quality
243,5,Customer Service
244,4,Delivery
245,1,Customer Service
246,3,Pricing
247,1,Product Quality
248,2,Customer Service
249,5,Product Quality
250,2,Customer Service
251,2,Delivery
252,1,Pricing
253,4,Customer Service
254,5,Delivery
255,5,Product Quality
256,1,Delivery
257,3,User Experience
258,5,User Experience
259,4,User Experience
260,3,Product Quality
261,4,Pricing
262,4,User Experience
263,2,Pricing
264,4,Customer Service
265,2,User Experience
266,2,Product Quality
267,5,User Experience
268,3,Pricing
269,1,Customer Service
